Date,Tweet
2020-12-09 10:18:29+00:00,Dipaksa Pulang? Sakitnya Tuh di Sini https://t.co/fy94OyiIKs\n#YangAkuMau \n#RokokNaikRakyatPanik \n#hukumanbuatkoruptor \n#BubarkanOrmasPemecah \n#EnaaakkkTapiNendaaang \nAngin \n#DPRDDKINAEKGAJI \nPernah \n#StartUpEp15 \n#GangnamXMewGulfSS2 \nBidadari \n#TimJiPyeong \n#DzalimnyaKebangetan'
2020-12-09 08:25:41+00:00,nam do san adalah aku #StartUpEp15 https://t.co/AT4DQCB3Pj'
2020-12-09 05:23:10+00:00,#StartUpEp15 \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 maaf tapi beneran kayak kasian banget sih kenapa skenario dia harus dibawa ke sana. Jujur kayak gabisa ya dikasih justice aja kakak jangan sad sad banget gitulah cakanim jebal \xf0\x9f\x98\xb5\xf0\x9f\x98\xb5\xf0\x9f\x98\xb5\xf0\x9f\x98\xb5\xf0\x9f\x98\xb5\xf0\x9f\x98\xb5\xf0\x9f\x98\xb5'
2020-12-09 05:00:43+00:00,BALSEM HERBAL PAK LULUK 40 gram #stroke #syaraf #kejepit #vertigo #keseleo #darah tdk lancar #asam urat seharga Rp. 28.000. Dapatkan produk ini hanya di Shopee! https://t.co/Yz3TRpxL6h #ShopeeID\n#pilkadaserentak2020 #SayNoToRacism #StartUpEp15 #StaySafe #Facebook #balsem https://t.co/72j78HH62c'
2020-12-09 03:28:01+00:00,masih gabisa move on dari drama startup apalagi yg eps 15\xf0\x9f\x98\xad\xf0\x9f\x92\x97\n\n#StartUpEp15 #StartUp'
2020-12-08 18:38:27+00:00,"\xe2\x80\x9cYasudah, ini semua cukup\xe2\x80\x9d \nnangis sya ga sanggup \xf0\x9f\x98\xad #StartUpEp15 https://t.co/cbQgzjiWVP'"
2020-12-08 15:52:01+00:00,Gak nyangkaaa udah punya tanaman ini dari lama \xf0\x9f\x98\xad (sorrygakbisanahankehebohanwkwk)\nKeingetan sama @nurulmgu thankyou!!!\n\n#StartUpEp15 #StartUp https://t.co/KQPyABLcsx'
2020-12-08 14:10:11+00:00,apakah kamu setuju ?\nhttps://t.co/gsv6DeiHtf\nLike &amp; komen ya gaes Trimakasih \xf0\x9f\x99\x8f\xf0\x9f\x98\x8a\n#stratup\n#StartUpEp15\n#CHANYEOLisBACK'
2020-12-07 14:09:17+00:00,best boy han ji pyeong #StartUpEp14'
2020-12-07 11:10:51+00:00,"gue gk liat, gue gk cembokurrr.... gue lg dgrin musik! sdgjlfaadjkhs #StartUpEp14 https://t.co/PeR5x66gZI'"
