,Date,Tweet
56,2020-11-28 03:17:56+00:00,b'Pengalaman Inspiratif Won In-jae Dalam Drama Start Up\n#StartUp #StartUpEp13 #StartUpEp12 #StartUpEP1 #WonInJae #SeoDalmi #NamDoSan #HanJiPyeongTeam #KangHanNa #baesuzy #SuzyBae #NamJooHyuk #SuzyStartUpOST #startupep6 #Indonesia #samsantech #sandbox \n https://t.co/9vSW8kcLFd'
57,2020-11-28 00:40:24+00:00,"b'Akhirnya nonton #StartUpEp12 knp ya akhir2 ini kurang suka sama karakternya Nam Dosan. Terlalu menggantungkan hidupnya sama org lain, dan bucin bgt :( apalagi pas dia bilang \xe2\x80\x9cgabisa apa mimpi itu gausah pencapaian, gabisa apa mimpi itu seseorang\xe2\x80\x9d gabisa dosana krna km gabisa -'"
58,2020-11-28 00:39:53+00:00,b'Srs sedih sia eps 12 haih tkboleh aku tgk semua sedih ni sorry la gais lambat sikit tgk #StartUpEp12'
59,2020-11-27 23:17:06+00:00,b'[OPEN PO BATCH 1]\n\xf0\x9f\x91\x95 Kaos Mentor Han Ji Pyeong\n\xf0\x9f\x91\x95 Kaos CEO Seo Dal Mi\n\xf0\x9f\x91\x95 Kaos Start Up\n\nAVAILABLE LENGAN PANJANG\n\nHarga terjangkau kualitas memukau\nMinat?  DM yaa \xf0\x9f\x98\x8d\nSisa slot ga banyak lagi~ \nThe Call semua #TeamJiPyeong\n\n#StartUpEp12 #StartUp #Suzy #NamJooHyuk #KimSeonHo https://t.co/0Yl1tleYBT'
60,2020-11-27 18:42:06+00:00,b'Ini juga shshshsh \xf0\x9f\x92\x94\xf0\x9f\x92\x94\xf0\x9f\x92\x94 parah! \nTapi ak bingung kapan dosan sama dalmi pacaran?? Tbtb putus sih \xf0\x9f\x98\xad\xf0\x9f\x98\xad\n#StartUp \n#StartUpEp12 https://t.co/a2mxKaxtTe'
61,2020-11-27 17:07:06+00:00,b'Nangisss bombayyy pas scene nenek sm jipyeong \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\nAnakk baikkk nenekkk tolonggg ksh bahagiaaaaaaaaaa \n\n#startupep12 #HanJiPyeongTeam'
62,2020-11-27 15:22:32+00:00,b'Bismillah kak aku baru mau nntn #StartUpEp12 yg katanya penuh hur hara itu'
63,2020-11-27 15:08:20+00:00,"b'malah beneran bangga sama dal mi, ternyata orang2 bilang she doesnt mean it wk. Yah, beneran lho, apa enaknya jadi mimpinya orang lain? #StartUpEp12'"
64,2020-11-27 15:07:22+00:00,"b'Liat komen2 the swoon upload do san dal mi pas hari ultahnya do san kemarin ternyata banyak yg sedih sampe nangis ya, sebagai orang yg mudah nangis ternyata sampe sekarang scene2 pacaran2 berantem gabisa bikin ku nangis #StartUpEp12'"
65,2020-11-27 13:39:42+00:00,b'ini juga ga di jual tapi lanyardnya aku jual. duh aku belum nonton #StartUpEp12 \xf0\x9f\x98\x94 https://t.co/jzELr02hU5'
66,2020-11-27 13:30:35+00:00,"b'bener bener klo smpe nanti si dalmi milih dosan mah gaabis thinking bgt anjir . han ji pyeong yang udh nemenin hari"" nya selama 15th + 3th arghhhh #StartUpEp12 #HanJipyeong'"
67,2020-11-27 12:22:05+00:00,b'Jadi tim chulsan aja deh wkwk #StartUpEp12 https://t.co/s2oV1i38E4'
